Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.88     0.00        1     0.00     0.00  free_type_track_to_ipin_map
  0.00      5.88     0.00        1     0.00     0.00  free_unique_pin_list
  0.00      5.88     0.00        1     0.00     0.00  get_delay_normalization_fac
  0.00      5.88     0.00        1     0.00     0.00  get_longest_segment_length
  0.00      5.88     0.00        1     0.00     0.00  get_max_pins_per_net
  0.00      5.88     0.00        1     0.00     0.00  get_seg_track_counts
  0.00      5.88     0.00        1     0.00     0.00  init_draw_coords
  0.00      5.88     0.00        1     0.00     0.00  init_route_structs
  0.00      5.88     0.00        1     0.00     0.00  initial_placement
  0.00      5.88     0.00        1     0.00     0.00  load_route_bb
  0.00      5.88     0.00        1     0.00     0.00  load_rr_indexed_data_base_costs
  0.00      5.88     0.00        1     0.00     0.00  load_simplified_device
  0.00      5.88     0.00        1     0.00     0.00  load_subblock_info_to_type
  0.00      5.88     0.00        1     0.00     0.00  my_srandom
  0.00      5.88     0.00        1     0.00     5.86  place_and_route
  0.00      5.88     0.00        1     0.00     0.00  post_place_sync
  0.00      5.88     0.00        1     0.00     0.00  print_place
  0.00      5.88     0.00        1     0.00     0.02  read_netlist
  0.00      5.88     0.00        1     0.00     0.00  reset_placement
  0.00      5.88     0.00        1     0.00     0.00  restore_original_device
  0.00      5.88     0.00        1     0.00     0.02  rr_graph_externals
  0.00      5.88     0.00        1     0.00     0.00  set_graphics_state
  0.00      5.88     0.00        1     0.00     0.00  setup_chan_width
  0.00      5.88     0.00        1     0.00     0.00  start_hash_table_iterator
  0.00      5.88     0.00        1     0.00     0.00  starting_t
  0.00      5.88     0.00        1     0.00     5.86  try_place

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.17% of 5.88 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    5.88                 main [1]
                0.00    5.86       1/1           place_and_route [2]
                0.00    0.02       1/1           SetupVPR [37]
                0.00    0.00       1/1           PrintTitle [223]
                0.00    0.00       1/1           ReadOptions [232]
                0.00    0.00       1/1           IsTimingEnabled [222]
                0.00    0.00       1/1           CheckOptions [217]
                0.00    0.00       1/1           CheckArch [216]
                0.00    0.00       1/1           CheckSetup [219]
                0.00    0.00       1/1           ShowSetup [245]
                0.00    0.00       1/1           set_graphics_state [320]
                0.00    0.00       1/1           freeArch [284]
-----------------------------------------------
                0.00    5.86       1/1           main [1]
[2]     99.7    0.00    5.86       1         place_and_route [2]
                0.00    5.86       1/1           try_place [3]
                0.00    0.00       1/1           print_place [317]
                0.00    0.00       1/1           post_place_sync [316]
-----------------------------------------------
                0.00    5.86       1/1           place_and_route [2]
[3]     99.7    0.00    5.86       1         try_place [3]
                0.56    4.25  869860/869998      try_swap [4]
                0.00    0.96       1/1           alloc_lookups_and_criticalities [6]
                0.04    0.00      15/15          recompute_bb_cost [32]
                0.02    0.01     124/124         load_net_slack [33]
                0.01    0.00     511/511         get_mst_of_net [51]
                0.00    0.01     138/139         comp_td_costs [54]
                0.00    0.00       1/1           starting_t [60]
                0.00    0.00       1/1           check_place [65]
                0.00    0.00       1/2           comp_bb_cost [64]
                0.00    0.00       1/1           initial_placement [73]
                0.00    0.00     124/124         load_timing_graph_net_delays [165]
                0.00    0.00     123/123         load_criticalities [167]
                0.00    0.00     123/123         update_screen [168]
                0.00    0.00     122/123         get_std_dev [166]
                0.00    0.00     122/122         exit_crit [169]
                0.00    0.00     121/121         update_t [171]
                0.00    0.00     121/121         update_rlim [170]
                0.00    0.00       2/383841      my_malloc [76]
                0.00    0.00       1/2           init_chan [213]
                0.00    0.00       1/1           alloc_and_load_placement_structs [253]
                0.00    0.00       1/1           init_draw_coords [310]
                0.00    0.00       1/1           count_connections [278]
                0.00    0.00       1/1           compute_net_pin_index_values [277]
                0.00    0.00       1/1           free_placement_structs [293]
                0.00    0.00       1/1           free_lookups_and_criticalities [290]
-----------------------------------------------
                0.00    0.00     138/869998      starting_t [60]
                0.56    4.25  869860/869998      try_place [3]
[4]     81.9    0.56    4.25  869998         try_swap [4]
                1.10    0.85  848146/848146      comp_delta_td_cost [5]
                0.87    0.00 12628718/12629702     get_non_updateable_bb [11]
                0.58    0.00  848146/848146      find_affected_nets [16]
                0.39    0.00 15636765/15637785     get_net_cost [21]
                0.11    0.13 3008047/3008047     update_bb [22]
                0.14    0.00  386965/386965      update_td_cost [24]
                0.03    0.02  869998/869998      find_to [30]
                0.02    0.00 1267391/3022684     my_irand [31]
